"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belarus","BLR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","0.8","1.8","2.6","3.5","5","3.6","3","2.6","2.4","2.6","3.5","3.9","2.4","2","1.5","1.2","0.9","4.6","","0.6","0.5","0.4","0.4","0.7","4.19","4.04","3.56","3.2","3.3","3.07","",
"Belize","BLZ","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.16","15.55","17.86","18.63","20.35","21.33","20.33","","15.37","15.31","","","17.06","15.09","13.01","","","","","","12.59","14.02","11.07","11.14","9.81","","13.58","","15.13","",
"Bermuda","BMU","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.28","","","","","","","","","3.01","5.97","","8.17","5.56","8.05","","","","","","","","",
"Bolivia","BOL","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","10.83","11.54","12.6","11.59","9.94","7.41","7.12","5.56","5.26","2.84","4.09","5.53","2.03","","4.59","5.58","6.17","6.94","","4.88","6.54","5.74","5.95","3.35","3.61","","2.68","2.79","3","2.85","3.79","4.03","4.05","3.61","3.99","9.78","5.65","",
"Brazil","BRA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","1.9","2.76","2.8","2.76","","4.16","5.09","4.63","4.4","3.86","2.71","3.95","4.25","2.97","3.45","","7.95","7.34","","9.02","10.64","12.03","13.59","14.58","","13.67","13.61","14.19","13.25","13.89","12.7","12.41","11.17","12.58","","10.35","9.22","8.96","8.31","10.29","13.58","14.86","14.39","14.32","16.22","16.41","11.49",
"Barbados","BRB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","13.12","17.8","15.86","12.47","11.31","9.52","10.41","11.24","22.07","24.2","22.97","23.27","23.34","18.73","10.44","8.55","25.79","27.66","27.91","22.71","17.65","17.99","16.52","13.41","11.47","11.81","12.14","12.55","","","","","","9.89","10.47","12.63","12.27","11.43","12.78","8.97","8.65","8.78","8.54","7.27","","","",
"Brunei Darussalam","BRN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","32.63","27.11","25.93","24.98","22.26","","","","","","","","6.7","","","","","","","","","","","","","","","","","","","","","","","7.84","","","9.96","10.07","7.92","8.91","6.42","",
"Bhutan","BTN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.6","","3.2","","","3.34","3.3","3.81","","","5.35","3.97","4.54","2.2","3.7","3.49","3.15","","","4.15","3.26","5.97","6.06","",
"Botswana","BWA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","30.82","","","","","","17.18","","","22.8","","23.95","","23.57","","17.25","22.15","","26.3","","","19.98","","","19.6","21.43","","","","","","","","","21.88","22.56","25.94","25.93",
"Central African Republic","CAF","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","4.5","5.1","5.3","5.1","4.9","","8.21","9.17","9.55","8.69","8.33","8.26","10.74","11.56","11.31","10.57","9.76","9.2","8.19","7.77","8.09","9.69","10.19","10.68","9.8","9.11","9.29","8.92","7.99","7.29","6.69","6.86","7.12","7.16","6.85","6.46","6.09","5.65","5.65","7.01","7.24","7.01","6.82","6.6","6.39","6.29","6.24","5.85","5.49","5.25","9.39","7.21","5.11",
"Central Europe and the Baltics","CEB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5939885834368","10.9277885290441","10.5044089241082","10.0608296674633","9.53835482956757","10.4669036114431","12.9795846948956","13.6608303186593","14.0802021780973","13.3216429302376","13.1064302954492","12.6784169116245","10.5879158725768","8.19318709569329","6.97385770836619","8.45383835156457","9.82210238877057","9.88782443814849","10.1400782903488","10.2410365645999","9.1278799057677","7.90659008234145","6.44373058001839","5.25882956016319","4.29363939359797","3.85146952161764","4.41367961171118","4.48823112215323","",
"Switzerland","CHE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","0.2","0.6","0.4","0.4","0.4","0.3","0.2","0.6","0.9","1.4","1.2","1.1","1.1","1","0.8","2.62","2.69","2.98","4.46","4.26","3.66","4.08","3.93","4.08","3.53","3.12","3.46","3.1","4.49","4.76","5.09","4.7","4.51","3.97","4.51","5.2","4.8","4.74","4.92","4.99","4.91","5.01","5.06","5.11","4.71","5","5.31","",
"Channel Islands","CHI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","16.27","13.08","16.3","14.03","10.07","9.96","18.25","14.69","15.9","","9.65","","7.75","6.04","5.69","5.74","5.32","5.1","6.78","5.25","9.99","9.59","9.34","13.1","12.48","11.93","11.81","12.03","13.01","12.28","11.76","10.88","12.13","13.42","9.9","8.83","8.12","7.16","7.11","7.13","7.25","7.44","7.96","8","11.17","9.56","8.81",
"China","CHN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.33","5.11","","","2.34","3.87","","3.01","","","",
"Cameroon","CMR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","","","","","6.7","","","","4.6","","3.49","","","4.88","","","","4.03","","","","","","","","",
"Congo, Dem. Rep.","COD","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.26","","","","","","","3.62","","","","","","","","1.08","","",
"Congo, Rep.","COG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.01","","","","17.06","","","10.8","","","","","","","","","","",
"Colombia","COL","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","12.87","","11.9","","","11.5","","","14.22","16.27","18.65","17.16","14.48","","","","13.53","13.01","11","12.3","11.32","14.94","15.1","18.03","23.31","24.47","19.4","18.12","17.07","18.02","14.46","","14.81","14.77","15.84","14.34","13.28","12.87","11.89","11.26","11.08","11.43","11.71","11.98","13.08","20.48","18.13","13.2",
"Comoros","COM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.89","","","","","","","","","","10.44","","","","","","","6.52","",
"Cabo Verde","CPV","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.58","","","","","","","","","","","","","","","","","","","","","","","","","31.63","","12.76","11.55","12.07","","","",
"Costa Rica","CRI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.63","7.88","8.2","8.46","9.81","8.65","6.82","6.26","9.88","9.05","11.93","10.85","9.75","10.53","10.38","10.19","9.76","11.46","14.14","21.29","20.16","15.23",
"Caribbean small states","CSS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1330431052995","21.068675358004","22.0650522605925","22.1655471246828","21.3534641689381","20.5928288093413","21.0828171671963","20.7841112251222","19.869675480878","19.4944445929955","","17.222780610941","17.3924764669837","15.3785988609528","","14.2722310406003","12.422258957495","12.077658313571","8.31607601763918","9.45454214299659","8.54956328957836","9.87789670340869","10.2779833605164","10.8606384556527","9.91708504551666","12.6719842407331","9.51946325115902","","","7.43789613777149","","","",
"Cuba","CUB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.99","12.29","11.16","9.38","9.64","8.26","5.76","4.63","3.4","2.21","2.21","2.22","1.87","1.97","1.99","2.71","3.51","3.62","3.55","3.1","2.6","2.2","1.6","1.8","","","","",
"Curacao","CUW","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.38","","20.33","","",
"Cayman Islands","CYM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.67","","","","","","","","","","","","","4.39","","2.81","4.2","4.12","4.99","","5.47","5.31","5.84","4.65","5.2","","","","","","","",
"Cyprus","CYP","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","7.4","10.5","5.3","3.1","2.6","2.4","2.6","2.9","4.5","4.1","4.1","4.2","5","4.7","3.8","3.3","2.5","4.4","2.23","4.1","3.9","3.7","4.3","4.5","4.2","7.28","7.33","5.81","4.25","4.62","6.32","6.74","5.46","4.61","4.42","5.71","6.51","7.75","11.33","15.39","15.27","14.89","13.38","11.35","8.88","8.08","7.82","8","",
"Czechia","CZE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","2.07","3","5.44","5.19","4.81","4.66","5.94","8.25","10.51","10.57","9.88","9.03","9.88","9.91","9.79","8.84","6.73","5.61","7.73","8.46","7.9","8.21","8.29","7.39","6.08","4.67","3.58","2.81","2.38","2.95","3.43","",
"Germany","DEU","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","7.53","8.24","8.47","8.23","7.92","7.9","7.47","6.12","6.52","8.23","9.32","10.32","9.63","9.59","10.59","10.44","9.23","8.27","7.78","8.21","9.28","10.08","10.89","10.17","8.79","7.65","7.31","6.5","5.58","5.18","4.92","4.63","4.22","3.74","3.31","2.91","2.73","3.44","3.18","",
"Djibouti","DJI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9","","","","","",
"Dominica","DMA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.25","","10.01","","","","","","27.29","","19.42","","9.45","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","0.5","1.5","3.9","5","6.9","8.3","7.4","7.6","9.2","10","10.45","10.16","9.49","7.77","7.13","7.32","8.9","8.92","10.02","9.87","11.08","9","8.65","8.4","6.44","6.4","5.9","4.97","4.78","4.32","5.75","5.44","5.28","4.53","4.2","4.07","5.67","6.76","7.62","7.79","7.67","7.14","6.53","6.38","6.05","5.35","5.27","5.98","5.13","",
"Dominican Republic","DOM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.62","11.24","10.15","10.02","9.99","9.71","8.86","7.56","7.37","7.89","7.04","8.35","9.21","10.52","9.69","10.84","10.65","8.07","9.03","9.27","8.94","12.28","",
"Algeria","DZA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.14","20.71","17","","","","","","26.17","","","29.72","","","25.44","18.19","","","","","18.1","19.1","","16.99","16.3","15.58","16.57","18.25","20.62","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.06546571302678","","","","","","6.89286613858372","","","","","9.58441034321431","","","","","6.2998890675012","","6.26233651448988","","","","","","7.53985243983246","6.97823816044353","7.58430891931968","7.06562236639105","",
"East Asia & Pacific","EAS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.19849729872085","5.78093674432901","7.16201031772036","7.5802351453004","8.47272551318028","10.168830406402","11.3660152777421","12.2949330456523","9.99416935020142","9.38433126938916","8.73257354421594","8.84509557631796","8.62439448791537","7.93727099546663","7.70048371712578","6.79272168612243","7.20034200740837","8.48027702222611","8.10002705986933","7.4493568199086","6.80556158243513","6.82691745481243","7.02519759815935","7.39525920369703","7.4780191552134","7.23538473865008","7.13105412459043","7.64307739423638","7.62190549259333","7.47080392573395","",
"Europe & Central Asia","ECS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.16592156089243","9.56098497171376","10.414424312968","10.1492045648542","10.4852938696218","10.9858837798958","11.2045438847571","11.2118628689354","10.212133265554","9.36927827367411","9.25047224955334","9.29834114786085","9.28234952794869","8.99945641771957","8.44030096596361","7.42927800261523","7.36398344732239","8.68444551361616","8.90349594715751","8.80313094422731","9.04723252256536","9.10670598463369","8.92564528367626","8.59019584305587","8.17029598833966","7.55435970844354","7.05601960655384","6.93056245912656","7.43254659407378","7.36189603953425","",
"Ecuador","ECU","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.37","10.28","10.94","9.03","12.84","13.04","11.15","8.62","8.72","14.07","12.64","15.92","19.25","6.44","5.21","","6.16","5.7","4.7","4.36","3.9","4.98","5.86","4.95","4.27","3.81","3.65","4.13","4.5","5.81","4.9","4.38","4.58","7.32","5.69","",
"Egypt, Arab Rep.","EGY","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","11.29","12.29","14.93","17.72","14.78","16.83","10.21","11.03","","","","","10.93","17.89","21.22","17.18","22.53","22.97","23.91","20.4","19.8","19.79","19.26","22.73","22.06","23.81","23.09","26.19","24.25","23.94","18.42","18.88","22.38","22.11","22.44","24.01","24.17","24","24.81","23.64","23.07","21.44","21.67","17.8","16.09","",
"Euro area","EMU","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3907448942349","11.1346579044197","11.76632643032","12.8975580184986","13.9981275372772","13.8245012900556","13.9126213956106","13.8682314502293","13.4716021573168","12.633871464013","11.4533628232548","9.93766467812677","10.0098105188012","10.1608205268265","10.393357895607","10.2421316534089","9.53838697443082","8.56289639212111","8.35650391577819","9.80757797448005","10.3496983613871","10.4592595898355","11.5570019240169","12.0309372774054","11.7542525372045","11.0146803338161","10.3375495313275","9.41464561270389","8.54154927316849","7.88916521488335","8.17145867514992","8.10326506285566","",
"Eritrea","ERI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","2.6","3.38","4.24","2","5.54","7.97","9.7","12.8","15.99","18.69","20.52","23.04","25.04","25","27.92","28","25.27","24.17","23.21","25.22","28.73","31.59","30.53","29.53","27.98","26.61","22.8","20.33","15.04","16.04","15.68","15.03","11.99","11.34","10.7","12.84","18.13","20.22","21.81","25.03","26.67","25.43","23.55","21.38","19.03","17.02","15.99","17.43","16.71","",
